Company,Address,City,Zip Code
C & C DELI CORP                        ,801 WEST BEECH STREET                  ,LONG BEACH         ,11561
CITGO - POINT LOOKOUT                  ,12 LIDO BLVD                           ,POINT LOOKOUT      ,11569
WOODMERE GROCERY                       ,1064 BROADWAY                          ,WOODMERE           ,11598
VITA VENDING     ,311 POST AVE,WESTBURY,11590
A & P - PATHMARK D.I.P. #623           ,1764 GRAND AVENUE                      ,BALDWIN            ,11510
A & P WALDBAUMS D.I.P. STORE # 452     ,905 ATLANTIC AVENUE                    ,BALDWIN            ,11510
DELI BOY MARKET                        ,906 ATLANTIC AVENUE                    ,BALDWIN            ,11510
COLLURA'S DELI                         ,753 MERRICK RD                         ,BALDWIN            ,11510
KING KULLEN #50                        ,2730 SUNRISE HIGHWAY                   ,BELLMORE           ,11710
7-11 #34086                            ,2950 MERRICK ROAD                      ,BELLMORE           ,11710
VALERO                                 ,207 SUNRISE HWY                        ,BELLMORE           ,11710
JOHN MOORES                            ,2687 MERRICK ROAD                      ,BELLMORE           ,11710
VICTORIA'S BAKERY                      ,86 W. MERRICK ROAD                     ,FREEPORT           ,11520
NEW Z DELI & GRILL                     ,42 GUY LOMBARDO AVE                    ,FREEPORT           ,11520
A & P WALDBAUMS D.I.P. STORE # 279     ,1686 MERRICK ROAD                      ,MERRICK            ,11566
GULF                                   ,2030 SUNRISE HWY                       ,MERRICK            ,11566
BAGEL BOSS                             ,2101 MERRICK ROAD                      ,MERRICK            ,11566
HESS #32395                            ,2426 JERUSALEM AVENUE                  ,NORTH BELLMORE     ,11710
QUICK STOP                             ,2741 JERUSALEM AVENUE                  ,NORTH BELLMORE     ,11710
MY HERO                                ,1005 JERUSALEM AVENUE                  ,NORTH MERRICK      ,11566
A & P - PATHMARK D.I.P. #664           ,683 OLD COUNTRY RD                     ,DIX HILLS          ,11746
A & P WALDBAUMS D.I.P. STORE # 217     ,777 PULASKI ROAD                       ,GREENLAWN          ,11740
KING KULLEN #40                        ,50 NORTH NEW YORK AVENUE               ,HALESITE           ,11743
WILD BY NATURE #202                    ,369 MAIN STREET                        ,HUNTINGTON         ,11743
SOUTHDOWN MARKET PLACE                 ,205 WALL STREET                        ,HUNTINGTON         ,11743
